Info, Time, Steps, Train accuracy, Loss, Validation accuracy, Train Folds, Final test accuracy,Tensorboard dir, Misclassified Images, Early Stopping Result
Date created: Tue Oct 10 15:22:17 SGT 2017

#################### Setting ######################

home_dir: /home/duclong002/
Jpeg_data_dir: /home/duclong002/Dataset/JPEG_data/
code_dir: /home/duclong002/FYP/image_retraining/
dataset_arr: PAP_smear_JPEG

learning_rate_arr:  0.1 0.03
how_many_training_steps: 10000
testing_percentage_arr: 20
train_batch_size_arr: 30 50 100
hidden_layer1_size_arr: 50 100
dropout_keep_prob_arr: 0.7 0.8
learning_rate_decay_arr: 0.33 0.5

################# End of Setting ##################

"[Namespace(architectures='', bottleneck_dir='/tmp/bottleneck', checkpoint_dir='/home/duclong002/checkpoints', csvlogfile='/home/duclong002/retrain_logs/logfile/log_10-10-15:22:17.csv', dropout_keep_prob=0.69999999, early_stopping_n_steps=5, eval_step_interval=100, final_tensor_name='final_result', flip_left_right=False, hidden_layer1_size=50, how_many_training_steps=10000, image_dir='/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/', intermediate_output_graphs_dir='/tmp/intermediate_graph/', intermediate_store_frequency=0, learning_rate=0.1, learning_rate_decay=0.33, model_dir='/home/duclong002/pretrained_model/', output_graph='/tmp/output_graph.pb', output_labels='/tmp/output_labels.txt', print_misclassified_test_images=True, random_brightness=0, random_crop=0, random_scale=0, summaries_dir='/home/duclong002/retrain_logs/PAP_smear_JPEG_10-10-15:22:17', test_batch_size=-1, testing_percentage=20, train_batch_size=30, validation_batch_size=-1, validation_percentage=10), ['inception_resnet_v2']]"
,2017-10-10 15:25:04.875127,300,86.6666734219,0.251651,,"['fold1', 'fold2', 'fold3', 'fold4']"
,2017-10-10 15:25:07.274982,400,93.3333396912,0.162618,,"['fold1', 'fold2', 'fold3', 'fold4']"
,2017-10-10 15:25:09.763357,500,96.6666698456,0.094419,,"['fold1', 'fold2', 'fold3', 'fold4']"
,2017-10-10 15:25:12.152826,600,100.0,0.05652,,"['fold1', 'fold2', 'fold3', 'fold4']"
,2017-10-10 15:25:14.630890,700,100.0,0.0612067,,"['fold1', 'fold2', 'fold3', 'fold4']"
,2017-10-10 15:25:17.014308,800,96.6666698456,0.0727498,,"['fold1', 'fold2', 'fold3', 'fold4']"
,2017-10-10 15:25:19.535159,900,100.0,0.0292617,,"['fold1', 'fold2', 'fold3', 'fold4']"
,2017-10-10 15:25:21.940226,1000,96.6666698456,0.0835547,,"['fold1', 'fold2', 'fold3', 'fold4']"
,2017-10-10 15:25:24.478146,1100,100.0,0.0368661,,"['fold1', 'fold2', 'fold3', 'fold4']"
,2017-10-10 15:25:26.988396,1200,100.0,0.0484786,,"['fold1', 'fold2', 'fold3', 'fold4']"
,2017-10-10 15:25:29.425801,1300,100.0,0.0306404,,"['fold1', 'fold2', 'fold3', 'fold4']"
,,,,,,,,,"The best final result is at 900 steps:Train accuracy: 100.0, Loss: 0.0292617"
,2017-10-10 15:25:29.995308,,,,,,86.0759496689,/home/duclong002/retrain_logs/PAP_smear_JPEG_10-10-15:22:17,"[('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/158986813-158986820-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/209566399-209566517-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157181481-157181497-002.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185527-157185540-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/158986766-158986776-002.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157227461-157227503-002.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157184850-157184920-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185781-157185814-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/normal/157185781-157185793-001.jpg', 'abnormal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149316117-149316122-003.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149011613-149011656-001.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149014631-149014646-003.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149317204-149317230-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149190861-149190868-001.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149316117-149316131-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/153831027-153831045-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149314453-149314507-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/153826963-153826976-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/153701139-153701158-004.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149316426-149316462-001.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/153826963-153826989-002.jpg', 'normal'), ('/home/duclong002/Dataset/JPEG_data/PAP_smear_JPEG/abnormal/149101437-149101467-001.jpg', 'normal')]"
,,,,,91.32499999999999
